Station/Location;Datum;"Globalstrahlung; Tagesmittel";"Gesamtschneehöhe; Morgenmessung von 6 UTC";"Gesamtbewölkung; Tagesmittel";"Luftdruck auf Stationshöhe (QFE); Tagesmittel";"Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag";"Sonnenscheindauer; Tagessumme";"Lufttemperatur 2 m über Boden; Tagesmittel";"Lufttemperatur 2 m über Boden; Tagesminimum";"Lufttemperatur 2 m über Boden; Tagesmaximum";"Relative Luftfeuchtigkeit 2 m über Boden; Tagesmittel"
St. Gallen;2011-01-14;30.0;0.0;88.0;929.9;1.9;74.0;7.6;4.7;8.9;80.7
St. Gallen;2011-01-17;80.0;0.0;13.0;935.0;0.0;405.0;6.8;4.0;9.3;49.8
St. Gallen;2011-01-29;32.0;6.0;100.0;922.7;0.0;0.0;-4.2;-5.6;-3.2;94.1
St. Gallen;2011-02-01;39.0;6.0;92.0;932.4;0.0;0.0;-5.7;-6.9;-4.5;90.4
St. Gallen;2011-02-12;115.0;0.0;21.0;925.6;0.0;468.0;7.6;5.5;10.5;54.3
St. Gallen;2011-02-16;24.0;0.0;75.0;908.9;0.0;0.0;1.5;-0.4;3.9;94.3
St. Gallen;2011-02-18;30.0;0.0;83.0;920.7;0.0;0.0;1.6;0.3;2.5;89.1
St. Gallen;2011-02-23;149.0;13.0;33.0;931.0;0.0;525.0;-5.9;-9.2;-2.9;81.7
St. Gallen;2011-02-24;96.0;8.0;88.0;933.2;6.9;182.0;-1.1;-5.0;1.8;79.3
St. Gallen;2011-03-07;180.0;2.0;33.0;934.5;0.0;558.0;-0.1;-3.8;4.8;63.6
St. Gallen;2011-03-14;169.0;0.0;58.0;924.3;0.0;496.0;9.6;6.4;12.6;56.9
St. Gallen;2011-03-27;93.0;0.0;96.0;922.6;0.2;15.0;7.5;6.1;10.0;83.3
St. Gallen;2011-03-28;119.0;0.0;92.0;923.2;2.6;186.0;7.5;4.9;10.9;82.2
St. Gallen;2011-04-06;192.0;0.0;71.0;938.9;0.0;381.0;12.5;9.0;16.9;55.9
St. Gallen;2011-04-08;228.0;0.0;54.0;933.5;0.0;538.0;13.5;10.4;17.2;63.8
St. Gallen;2011-04-16;280.0;0.0;8.0;929.0;0.0;743.0;5.8;0.6;11.5;65.9
St. Gallen;2011-04-24;150.0;0.0;92.0;926.6;0.3;139.0;14.0;11.7;16.3;63.2
St. Gallen;2011-04-28;186.0;0.0;71.0;921.6;0.0;227.0;9.2;4.3;15.8;79.2
St. Gallen;2011-04-30;190.0;0.0;75.0;916.4;0.0;377.0;9.9;6.7;15.1;78.7
St. Gallen;2011-05-04;281.0;0.0;50.0;927.9;0.0;558.0;6.3;2.2;10.9;68.4
St. Gallen;2011-05-09;325.0;0.0;42.0;933.0;0.0;834.0;14.6;7.6;21.1;51.1
St. Gallen;2011-05-18;310.0;0.0;13.0;929.0;0.0;717.0;14.8;9.3;19.6;59.7
St. Gallen;2011-05-21;336.0;0.0;17.0;931.2;0.0;853.0;17.0;12.2;21.5;59.8
St. Gallen;2011-05-24;316.0;0.0;29.0;934.6;0.0;765.0;18.4;13.3;23.2;59.8
St. Gallen;2011-06-04;211.0;0.0;92.0;926.6;0.9;288.0;16.8;13.0;20.7;80.0
St. Gallen;2011-06-10;269.0;0.0;75.0;926.8;0.0;379.0;12.8;8.6;17.5;73.5
St. Gallen;2011-06-13;111.0;0.0;96.0;929.4;3.8;19.0;13.6;11.5;15.7;84.3
St. Gallen;2011-06-16;271.0;0.0;67.0;928.1;14.0;450.0;18.1;12.7;23.6;69.9
St. Gallen;2011-06-24;196.0;0.0;71.0;933.9;0.0;119.0;12.7;10.4;15.2;70.7
St. Gallen;2011-06-29;105.0;0.0;83.0;928.5;43.0;141.0;18.8;15.6;21.8;77.7
St. Gallen;2011-07-02;306.0;0.0;46.0;927.1;0.0;625.0;11.9;7.9;15.4;68.5
St. Gallen;2011-07-06;318.0;0.0;38.0;924.2;0.0;716.0;20.7;16.1;24.7;50.1
St. Gallen;2011-07-08;253.0;0.0;92.0;926.4;1.2;387.0;15.8;11.9;20.6;81.3
St. Gallen;2011-07-10;206.0;0.0;42.0;929.9;63.0;358.0;17.8;15.5;23.4;85.9
St. Gallen;2011-07-16;332.0;0.0;29.0;924.4;0.0;804.0;16.1;9.1;21.3;69.2
St. Gallen;2011-08-01;193.0;0.0;67.0;927.0;0.0;367.0;14.2;11.0;19.0;85.6
St. Gallen;2011-08-02;314.0;0.0;17.0;928.3;0.0;812.0;18.6;12.7;24.4;67.5
St. Gallen;2011-08-03;80.0;0.0;92.0;929.7;21.6;90.0;18.2;15.5;22.2;72.7
St. Gallen;2011-08-09;159.0;0.0;79.0;932.3;2.1;154.0;12.4;10.6;15.4;75.6
St. Gallen;2011-08-13;252.0;0.0;75.0;925.1;0.0;544.0;17.9;14.7;21.1;73.8
St. Gallen;2011-08-20;267.0;0.0;17.0;933.1;0.0;715.0;21.8;17.0;26.0;72.3
St. Gallen;2011-08-29;173.0;0.0;67.0;928.6;0.0;329.0;14.3;10.6;17.9;71.5
St. Gallen;2011-08-30;249.0;0.0;42.0;926.7;0.0;620.0;13.9;10.5;17.8;71.1
St. Gallen;2011-08-31;252.0;0.0;17.0;924.9;1.9;686.0;16.0;10.6;21.7;73.7
St. Gallen;2011-09-10;236.0;0.0;8.0;926.5;0.0;721.0;20.1;15.4;25.3;73.0
St. Gallen;2011-09-11;208.0;0.0;33.0;926.7;12.1;586.0;20.1;15.1;24.7;63.6
St. Gallen;2011-09-19;41.0;0.0;100.0;925.6;6.1;0.0;8.1;7.0;9.4;82.0
St. Gallen;2011-09-22;181.0;0.0;33.0;931.5;0.0;510.0;12.6;9.4;15.9;79.9
St. Gallen;2011-10-05;120.0;0.0;63.0;934.6;0.0;214.0;14.2;11.6;17.8;76.1
St. Gallen;2011-10-09;108.0;0.0;83.0;931.9;14.9;262.0;5.7;1.9;8.8;80.8
St. Gallen;2011-10-10;42.0;0.0;88.0;933.3;11.0;8.0;12.5;6.3;15.5;87.6
St. Gallen;2011-10-17;112.0;0.0;29.0;933.5;0.0;287.0;7.0;2.4;10.7;89.5
St. Gallen;2011-10-20;59.0;0.0;71.0;934.1;0.1;89.0;3.3;1.5;5.6;83.2
St. Gallen;2011-10-21;121.0;0.0;71.0;934.2;0.0;306.0;2.4;0.6;5.6;86.1
St. Gallen;2011-10-24;126.0;0.0;29.0;919.2;0.0;433.0;6.9;0.5;14.2;71.2
St. Gallen;2011-10-28;115.0;0.0;29.0;933.8;0.0;451.0;9.1;4.4;13.5;72.3
St. Gallen;2011-10-29;116.0;0.0;21.0;934.7;0.0;473.0;8.4;4.9;11.4;79.3
St. Gallen;2011-11-01;98.0;0.0;75.0;928.1;0.0;350.0;7.5;3.5;10.1;89.8
St. Gallen;2011-11-03;69.0;0.0;71.0;918.8;0.0;100.0;10.0;3.5;16.8;70.2
St. Gallen;2011-11-08;25.0;0.0;100.0;926.8;0.2;0.0;6.2;4.8;7.7;97.3
St. Gallen;2011-11-12;72.0;0.0;33.0;938.7;0.1;237.0;3.9;0.2;8.9;92.9
St. Gallen;2011-11-13;27.0;0.0;100.0;939.1;0.0;0.0;3.0;1.2;4.2;97.2
St. Gallen;2011-11-15;20.0;0.0;100.0;928.8;0.0;0.0;0.0;-1.0;1.0;97.5
St. Gallen;2011-11-18;86.0;0.0;13.0;932.6;0.0;435.0;4.2;2.5;6.4;79.4
St. Gallen;2011-11-20;59.0;0.0;67.0;930.3;0.0;121.0;2.5;-0.8;6.3;83.7
St. Gallen;2011-11-22;78.0;0.0;4.0;928.0;0.0;400.0;3.4;-2.0;7.2;78.1
St. Gallen;2011-11-23;27.0;0.0;100.0;934.2;0.0;0.0;-0.4;-1.5;2.3;98.5
St. Gallen;2011-11-24;15.0;0.0;100.0;939.2;0.0;0.0;-1.5;-2.2;-0.8;98.9
St. Gallen;2011-11-27;81.0;0.0;29.0;935.8;0.0;401.0;6.4;2.5;11.8;51.0
St. Gallen;2011-12-01;68.0;0.0;46.0;931.2;0.0;289.0;7.4;3.4;10.4;65.0
St. Gallen;2011-12-15;26.0;0.0;92.0;921.7;2.3;2.0;3.1;0.9;5.3;73.3
St. Gallen;2011-12-17;14.0;2.0;96.0;914.7;4.0;0.0;-0.5;-1.4;0.1;85.8
St. Gallen;2011-12-22;5.0;16.0;100.0;932.9;32.9;0.0;2.8;0.6;5.1;92.2
St. Gallen;2011-12-23;22.0;10.0;100.0;932.7;3.3;0.0;4.6;3.2;5.5;91.8
St. Gallen;2011-12-24;8.0;0.0;96.0;934.9;1.8;0.0;1.5;-0.9;4.8;86.9
St. Gallen;2011-12-31;7.0;6.0;100.0;925.8;38.6;0.0;3.0;-1.4;6.6;88.5
St. Gallen;2012-01-02;20.0;0.0;;925.4;7.4;0.0;6.3;2.5;10.1;75.4
St. Gallen;2012-01-08;11.0;0.0;;931.6;4.7;0.0;1.4;0.1;2.2;88.8
St. Gallen;2012-01-26;42.0;0.0;;927.0;0.3;0.0;-0.9;-3.0;3.3;94.4
St. Gallen;2012-01-28;40.0;0.0;;932.0;1.7;0.0;-0.8;-1.8;0.0;96.9
St. Gallen;2012-02-03;44.0;39.0;;932.4;0.0;0.0;-14.2;-16.6;-11.4;72.7
St. Gallen;2012-02-18;140.0;25.0;;928.5;0.8;507.0;0.9;-1.7;4.0;79.1
St. Gallen;2012-02-19;24.0;22.0;;928.1;9.1;0.0;0.6;-3.1;5.3;84.4
St. Gallen;2012-03-08;41.0;1.0;;934.2;4.0;0.0;1.0;-0.6;3.6;87.3
St. Gallen;2012-03-14;207.0;0.0;;937.4;0.0;653.0;6.2;1.1;12.1;71.0
St. Gallen;2012-03-15;213.0;0.0;;937.0;0.0;660.0;9.6;3.7;14.2;45.9
St. Gallen;2012-03-16;212.0;0.0;;934.0;0.0;661.0;12.9;8.6;17.3;35.3
St. Gallen;2012-03-18;127.0;0.0;;927.5;9.1;327.0;7.6;2.5;13.0;66.0
St. Gallen;2012-03-19;24.0;0.0;;935.1;11.4;0.0;2.2;0.7;3.4;95.5
St. Gallen;2012-03-27;234.0;0.0;;939.4;0.0;653.0;8.9;3.5;14.1;53.6
St. Gallen;2012-03-30;72.0;0.0;;925.0;2.0;67.0;10.0;8.0;12.5;66.0
St. Gallen;2012-04-01;243.0;0.0;;920.0;0.0;623.0;6.0;4.5;9.5;56.0
St. Gallen;2012-04-02;248.0;0.0;;919.1;0.0;711.0;7.6;0.7;13.6;58.0
St. Gallen;2012-04-06;82.0;0.0;;919.3;4.6;19.0;6.5;4.8;9.0;93.1
St. Gallen;2012-04-15;11.0;0.0;;912.0;33.2;0.0;4.8;3.6;5.3;94.8
St. Gallen;2012-04-17;181.0;0.0;;920.1;0.0;187.0;3.6;0.5;6.9;74.6
St. Gallen;2012-04-23;223.0;0.0;;915.9;9.2;346.0;6.0;2.0;9.9;69.4
St. Gallen;2012-05-06;102.0;0.0;;921.7;5.7;63.0;9.0;6.4;12.3;81.0
St. Gallen;2012-05-20;232.0;0.0;;916.7;0.0;471.0;17.6;11.4;23.4;48.3
St. Gallen;2012-06-04;121.0;0.0;;924.4;11.3;53.0;11.1;9.6;14.0;82.7
St. Gallen;2012-06-06;81.0;0.0;;923.0;0.5;5.0;14.0;10.1;16.2;72.4
St. Gallen;2012-06-15;340.0;0.0;;929.0;0.0;851.0;19.6;14.3;25.0;54.9
St. Gallen;2012-07-06;120.0;0.0;;925.4;3.7;41.0;15.8;13.9;17.6;85.0
St. Gallen;2012-07-10;259.0;0.0;;926.9;6.1;388.0;17.2;13.7;21.8;76.9
St. Gallen;2012-07-12;147.0;0.0;;929.4;0.0;137.0;13.7;12.1;16.3;70.0
St. Gallen;2012-07-20;79.0;0.0;;927.6;10.4;11.0;13.9;10.6;16.6;85.5
St. Gallen;2012-07-23;339.0;0.0;;932.9;0.0;868.0;14.1;7.8;20.0;68.8
St. Gallen;2012-07-25;221.0;0.0;;928.1;0.0;397.0;20.8;17.6;25.3;71.6
St. Gallen;2012-07-29;79.0;0.0;;927.3;3.1;5.0;15.2;12.9;16.8;82.9
St. Gallen;2012-08-04;244.0;0.0;;926.6;16.2;428.0;18.6;15.8;23.2;76.8
St. Gallen;2012-08-08;306.0;0.0;;934.6;0.0;722.0;16.3;12.4;20.4;71.1
St. Gallen;2012-08-09;279.0;0.0;;934.5;0.0;639.0;17.0;12.8;21.5;71.1
St. Gallen;2012-08-12;287.0;0.0;;926.1;0.2;755.0;16.0;10.8;21.1;79.0
St. Gallen;2012-08-21;255.0;0.0;;930.8;0.4;623.0;23.0;17.6;27.7;67.4
St. Gallen;2012-08-22;225.0;0.0;;929.9;10.0;470.0;22.4;18.5;26.3;67.0
St. Gallen;2012-08-28;221.0;0.0;;931.1;0.1;519.0;19.2;14.8;24.1;52.0
St. Gallen;2012-08-30;79.0;0.0;;930.2;36.7;41.0;15.6;11.4;19.4;81.1
St. Gallen;2012-09-03;75.0;0.0;;931.9;0.0;13.0;14.8;12.8;16.6;91.0
St. Gallen;2012-09-04;86.0;0.0;;929.8;0.0;34.0;16.5;14.5;19.0;89.9
St. Gallen;2012-09-05;48.0;0.0;;930.2;0.0;0.0;15.5;14.0;17.2;90.8
St. Gallen;2012-09-06;97.0;0.0;;934.9;0.0;39.0;14.1;12.3;16.8;87.6
St. Gallen;2012-09-16;202.0;0.0;;927.2;0.0;498.0;12.2;6.8;17.1;84.8
St. Gallen;2012-09-17;207.0;0.0;;927.0;0.0;582.0;16.3;13.0;19.8;70.9
St. Gallen;2012-09-18;189.0;0.0;;925.4;40.3;513.0;16.6;12.7;21.6;71.2
St. Gallen;2012-09-22;27.0;0.0;;927.0;19.6;0.0;12.3;8.2;15.5;92.4
St. Gallen;2012-09-30;22.0;0.0;;930.0;2.1;0.0;9.8;9.1;11.1;98.3
St. Gallen;2012-10-10;24.0;0.0;;924.0;30.9;0.0;11.0;9.7;12.4;95.3
St. Gallen;2012-10-31;107.0;20.0;;911.3;0.1;370.0;1.3;-3.3;3.6;81.8
St. Gallen;2012-11-01;108.0;14.0;;905.4;7.7;341.0;5.8;1.9;9.1;71.9
St. Gallen;2012-11-03;106.0;0.0;;917.1;0.0;441.0;11.3;6.3;15.6;55.0
St. Gallen;2012-11-06;31.0;0.0;;928.0;2.0;0.0;2.8;0.8;4.9;86.5
St. Gallen;2012-11-08;64.0;0.0;;931.8;0.0;167.0;6.2;2.0;11.0;61.5
St. Gallen;2012-11-10;44.0;0.0;;918.1;3.3;47.0;9.0;6.7;12.3;76.3
St. Gallen;2012-11-11;11.0;0.0;;922.2;19.0;0.0;7.1;5.8;8.5;92.8
St. Gallen;2012-11-13;13.0;0.0;;937.8;0.0;0.0;4.9;4.4;5.5;98.8
St. Gallen;2012-11-24;56.0;0.0;;928.5;0.0;137.0;8.6;4.9;11.7;64.9
St. Gallen;2012-11-30;20.0;34.0;;916.3;5.9;0.0;-1.9;-3.2;-1.2;92.6
St. Gallen;2012-12-11;31.0;48.0;;928.2;2.1;3.0;-4.1;-5.4;-1.5;86.2
St. Gallen;2012-12-23;21.0;0.0;;926.5;0.0;0.0;9.9;6.8;12.7;64.6
St. Gallen;2012-12-30;39.0;0.0;;932.3;0.5;99.0;5.3;3.6;7.7;63.2
St. Gallen;2012-12-31;60.0;0.0;;929.7;0.0;245.0;3.8;1.7;6.0;60.4
St. Gallen;2013-01-02;31.0;2.0;;933.4;0.0;12.0;0.7;-1.7;3.2;87.4
St. Gallen;2013-01-11;21.0;6.0;;923.0;1.8;0.0;0.0;-0.6;1.2;91.4
St. Gallen;2013-01-24;12.0;13.0;;916.8;0.1;0.0;-3.8;-4.4;-3.2;92.6
St. Gallen;2013-01-26;92.0;12.0;;921.0;0.0;364.0;-5.2;-8.4;0.0;74.6
St. Gallen;2013-02-03;40.0;14.0;;927.4;3.1;20.0;-2.3;-3.4;-1.4;84.2
St. Gallen;2013-02-21;26.0;25.0;;921.3;0.0;0.0;-5.7;-6.7;-4.6;86.6
St. Gallen;2013-02-27;60.0;25.0;;932.4;0.0;0.0;-1.0;-2.5;0.1;93.0
St. Gallen;2013-03-01;51.0;19.0;;928.6;0.0;0.0;-1.2;-2.2;-0.1;93.6
St. Gallen;2013-03-04;153.0;17.0;;925.9;0.0;345.0;-1.2;-5.4;3.3;85.4
St. Gallen;2013-03-05;128.0;17.0;;920.4;0.0;298.0;6.8;-2.6;12.4;40.8
St. Gallen;2013-03-07;141.0;0.0;;912.0;0.0;279.0;8.7;5.6;12.5;54.3
St. Gallen;2013-03-25;23.0;0.0;;914.6;7.3;0.0;-3.0;-3.9;-2.4;96.6
St. Gallen;2013-03-26;66.0;8.0;;914.7;6.1;0.0;-4.7;-5.7;-3.8;95.8
St. Gallen;2013-04-01;184.0;7.0;;914.2;0.0;178.0;-1.1;-3.9;2.1;84.3
St. Gallen;2013-04-03;85.0;4.0;;917.8;0.0;0.0;0.5;-1.1;2.4;84.1
St. Gallen;2013-04-10;159.0;0.0;;920.5;1.5;262.0;7.6;4.7;11.1;57.5
St. Gallen;2013-04-13;211.0;0.0;;930.8;0.2;396.0;8.4;4.7;13.3;63.8
St. Gallen;2013-04-15;275.0;0.0;;931.8;0.0;756.0;15.9;10.9;20.1;47.6
St. Gallen;2013-04-21;71.0;6.0;;926.8;5.4;0.0;5.3;2.9;7.1;91.3
St. Gallen;2013-05-02;199.0;0.0;;927.1;20.8;239.0;13.3;9.5;18.6;83.0
St. Gallen;2013-05-06;215.0;0.0;;927.2;0.0;407.0;11.8;6.8;16.1;78.8
St. Gallen;2013-05-07;128.0;0.0;;926.5;0.0;20.0;12.6;10.6;15.5;73.7
St. Gallen;2013-05-12;106.0;0.0;;928.3;6.9;76.0;7.3;5.8;9.5;79.2
St. Gallen;2013-05-16;125.0;0.0;;908.6;1.4;54.0;11.4;8.4;14.6;86.3
St. Gallen;2013-05-19;137.0;0.0;;919.9;7.3;148.0;9.5;5.8;16.6;73.5
St. Gallen;2013-05-22;74.0;0.0;;922.2;20.3;0.0;7.1;5.1;8.0;91.4
St. Gallen;2013-06-01;29.0;0.0;;923.0;76.8;0.0;9.9;9.0;11.1;94.8
St. Gallen;2013-06-02;77.0;0.0;;929.8;7.8;23.0;9.4;7.4;11.6;86.4
St. Gallen;2013-06-04;326.0;0.0;;928.8;0.0;644.0;10.0;3.0;16.3;76.3
St. Gallen;2013-06-07;345.0;0.0;;929.4;0.0;775.0;16.4;11.8;21.4;63.1
St. Gallen;2013-06-12;297.0;0.0;;931.8;0.0;570.0;15.4;10.3;19.9;61.6
St. Gallen;2013-06-14;107.0;0.0;;930.5;0.8;0.0;12.3;9.5;14.6;88.6
St. Gallen;2013-06-17;347.0;0.0;;926.2;0.0;834.0;25.7;18.1;30.6;45.7
St. Gallen;2013-06-20;240.0;0.0;;925.3;3.9;444.0;21.6;13.6;25.9;62.6
St. Gallen;2013-07-01;364.0;0.0;;930.0;0.0;881.0;15.6;10.0;20.4;70.3
St. Gallen;2013-07-02;309.0;0.0;;928.0;2.2;602.0;18.4;14.6;22.7;66.7
St. Gallen;2013-07-11;201.0;0.0;;928.7;0.0;331.0;16.2;12.3;20.4;75.7
St. Gallen;2013-07-12;343.0;0.0;;930.3;0.0;821.0;15.8;10.5;20.9;66.8
St. Gallen;2013-07-15;320.0;0.0;;933.1;0.0;771.0;18.7;14.0;23.6;60.0
St. Gallen;2013-07-16;344.0;0.0;;932.8;0.0;839.0;18.9;13.6;24.3;58.1
St. Gallen;2013-07-19;304.0;0.0;;930.4;0.0;613.0;19.5;14.2;25.2;66.3
St. Gallen;2013-07-26;327.0;0.0;;928.0;0.0;837.0;24.0;18.5;29.2;56.6
St. Gallen;2013-08-01;335.0;0.0;;929.9;0.0;849.0;21.9;15.8;27.6;58.4
St. Gallen;2013-08-05;309.0;0.0;;929.7;0.2;773.0;22.4;16.2;28.6;65.2
St. Gallen;2013-08-08;65.0;0.0;;928.5;5.4;6.0;16.3;14.6;18.4;92.1
St. Gallen;2013-08-14;247.0;0.0;;933.1;0.0;455.0;14.3;10.9;17.9;67.5
St. Gallen;2013-08-15;292.0;0.0;;932.9;0.0;796.0;15.2;10.4;20.2;68.9
St. Gallen;2013-08-19;64.0;0.0;;930.6;16.8;28.0;16.3;13.1;20.7;82.6
St. Gallen;2013-09-01;119.0;0.0;;935.5;3.8;132.0;13.5;8.5;17.5;86.6
St. Gallen;2013-09-07;231.0;0.0;;928.3;0.0;658.0;19.5;16.7;23.2;69.4
St. Gallen;2013-09-10;31.0;0.0;;928.0;10.9;0.0;11.2;9.3;13.7;81.9
St. Gallen;2013-09-11;119.0;0.0;;928.0;9.5;194.0;9.7;7.6;13.1;75.1
St. Gallen;2013-09-17;131.0;0.0;;919.6;8.5;201.0;7.5;4.3;10.8;78.2
St. Gallen;2013-09-19;101.0;0.0;;925.3;0.0;0.0;9.7;7.2;11.1;77.8
St. Gallen;2013-09-24;206.0;0.0;;928.0;0.0;656.0;12.8;7.7;18.3;82.3
St. Gallen;2013-10-03;71.0;0.0;;929.6;0.9;28.0;7.9;4.9;11.3;96.4
St. Gallen;2013-10-05;55.0;0.0;;928.8;4.9;34.0;14.0;11.4;17.2;85.8
St. Gallen;2013-10-11;109.0;1.0;;923.0;0.5;182.0;3.2;0.2;6.4;89.2
St. Gallen;2013-10-14;116.0;0.0;;928.7;0.0;284.0;10.0;6.3;13.3;74.7
St. Gallen;2013-10-15;85.0;0.0;;923.7;29.1;110.0;11.0;6.7;13.8;74.7
St. Gallen;2013-10-16;107.0;0.0;;925.7;1.9;280.0;9.0;5.4;12.0;79.2
St. Gallen;2013-10-21;106.0;0.0;;929.6;0.0;231.0;13.5;10.2;16.7;75.1
St. Gallen;2013-10-25;120.0;0.0;;928.3;0.0;407.0;12.5;8.3;15.7;74.8
St. Gallen;2013-10-26;94.0;0.0;;929.4;0.0;177.0;15.9;12.1;19.6;61.3
St. Gallen;2013-10-29;39.0;0.0;;928.4;3.2;3.0;8.1;6.7;10.4;82.2
St. Gallen;2013-11-05;66.0;0.0;;912.6;6.0;118.0;5.4;3.0;6.9;84.5
St. Gallen;2013-11-06;11.0;0.0;;920.2;5.6;3.0;9.0;6.0;11.6;81.1
St. Gallen;2013-11-08;99.0;0.0;;923.1;8.8;401.0;12.6;7.2;15.7;67.1
St. Gallen;2013-11-09;35.0;0.0;;924.6;2.2;82.0;5.9;3.2;7.2;82.5
St. Gallen;2013-11-14;6.0;0.0;;930.0;1.8;0.0;1.5;0.8;2.3;91.5
St. Gallen;2013-11-27;79.0;11.0;;937.6;0.0;399.0;-5.4;-7.7;-3.4;83.2
St. Gallen;2013-11-28;36.0;8.0;;938.1;0.0;0.0;-4.4;-6.7;-2.7;87.8
St. Gallen;2013-12-02;76.0;9.0;;935.7;0.0;382.0;-3.2;-4.9;0.1;81.0
St. Gallen;2013-12-04;74.0;8.0;;935.5;0.0;377.0;3.6;-1.0;7.8;55.0
St. Gallen;2013-12-07;60.0;6.0;;936.6;0.0;232.0;0.3;-1.4;2.8;59.8
St. Gallen;2013-12-08;69.0;6.0;;937.2;0.0;331.0;0.5;-1.5;3.2;71.7
St. Gallen;2013-12-25;32.0;0.0;;905.7;4.5;51.0;8.5;2.8;13.8;62.5
St. Gallen;2014-01-06;67.0;0.0;;925.0;0.0;349.0;4.8;0.4;12.9;56.0
St. Gallen;2014-01-10;13.0;0.0;;928.8;1.4;0.0;3.0;1.7;7.9;90.8
St. Gallen;2014-01-12;40.0;0.0;;931.2;0.0;48.0;3.3;0.2;6.9;94.7
St. Gallen;2014-01-15;75.0;2.0;;921.6;0.0;308.0;1.2;-1.4;3.7;79.4
St. Gallen;2014-01-19;18.0;0.0;;908.6;0.0;1.0;-0.3;-1.0;1.2;99.1
St. Gallen;2014-01-20;29.0;0.0;;912.8;6.0;3.0;2.0;-1.0;4.3;92.5
St. Gallen;2014-01-22;18.0;0.0;;921.2;0.0;0.0;0.9;-1.0;1.8;92.6
St. Gallen;2014-01-26;62.0;3.0;;919.8;2.4;156.0;1.3;-0.7;3.4;66.3
St. Gallen;2014-01-28;86.0;2.0;;910.3;0.0;411.0;-0.4;-3.3;1.8;73.9
St. Gallen;2014-02-06;112.0;0.0;;918.3;0.0;421.0;5.2;3.3;10.4;52.5
St. Gallen;2014-02-11;98.0;0.0;;916.6;0.5;316.0;2.2;0.1;4.7;82.5
St. Gallen;2014-02-13;41.0;0.0;;914.0;7.4;88.0;4.0;0.3;9.5;69.0
St. Gallen;2014-02-19;27.0;0.0;;925.5;1.1;0.0;4.6;3.3;5.9;75.5
St. Gallen;2014-02-28;143.0;0.0;;915.2;0.2;347.0;3.8;1.2;6.5;77.0
St. Gallen;2014-03-02;35.0;2.0;;912.7;0.5;0.0;0.7;-1.1;2.9;96.7
St. Gallen;2014-03-08;183.0;0.0;;938.2;0.0;615.0;6.5;2.0;11.8;66.2
St. Gallen;2014-04-03;102.0;0.0;;916.5;0.0;100.0;14.8;10.5;17.6;33.5
St. Gallen;2014-04-10;166.0;0.0;;931.1;0.0;205.0;8.4;4.3;12.1;57.0
St. Gallen;2014-04-11;271.0;0.0;;926.5;0.0;752.0;10.8;5.8;16.4;62.7
St. Gallen;2014-04-21;96.0;0.0;;915.8;0.0;8.0;9.4;6.9;11.4;81.4
St. Gallen;2014-04-24;300.0;0.0;;926.5;0.0;767.0;13.6;7.9;18.8;61.7
St. Gallen;2014-04-26;166.0;0.0;;921.7;7.2;202.0;12.2;9.7;17.0;79.6
St. Gallen;2014-04-28;48.0;0.0;;920.9;10.3;0.0;6.0;5.0;7.4;90.2
St. Gallen;2014-05-02;85.0;0.0;;922.5;18.0;8.0;8.6;7.1;11.2;91.3
St. Gallen;2014-05-04;191.0;0.0;;929.5;0.0;318.0;5.9;3.0;11.2;75.1
St. Gallen;2014-05-05;310.0;0.0;;926.8;0.0;719.0;9.6;2.4;15.7;65.8
St. Gallen;2014-05-07;79.0;0.0;;926.7;17.7;95.0;10.3;7.4;12.3;80.9
St. Gallen;2014-05-11;225.0;0.0;;922.4;1.9;300.0;9.4;4.3;14.4;72.9
St. Gallen;2014-05-17;292.0;0.0;;929.6;0.0;543.0;9.9;6.7;13.6;61.7
St. Gallen;2014-05-22;207.0;0.0;;921.6;11.5;330.0;20.5;11.7;25.5;41.7
St. Gallen;2014-05-25;310.0;0.0;;928.0;0.1;613.0;14.6;9.0;20.2;67.4
St. Gallen;2014-06-08;349.0;0.0;;931.1;0.0;856.0;23.8;19.3;28.5;42.6
St. Gallen;2014-06-10;348.0;0.0;;931.1;8.5;806.0;23.9;15.8;28.3;44.2
St. Gallen;2014-06-24;177.0;0.0;;927.0;4.8;351.0;14.1;11.7;18.5;85.0
St. Gallen;2014-07-03;361.0;0.0;;934.9;0.0;898.0;16.5;11.1;21.8;67.0
St. Gallen;2014-07-12;133.0;0.0;;925.3;14.4;9.0;14.7;12.6;17.5;89.9
St. Gallen;2014-07-13;176.0;0.0;;924.8;9.0;180.0;15.1;12.1;19.0;83.1
St. Gallen;2014-07-14;236.0;0.0;;927.4;0.1;301.0;16.6;13.8;20.5;77.7
St. Gallen;2014-07-23;171.0;0.0;;925.8;0.0;175.0;17.7;15.4;21.7;84.8
St. Gallen;2014-07-25;316.0;0.0;;925.2;4.2;730.0;18.8;14.2;22.9;65.1
St. Gallen;2014-08-07;209.0;0.0;;927.8;7.3;351.0;16.9;14.0;21.4;77.5
St. Gallen;2014-08-15;152.0;0.0;;927.4;10.0;152.0;11.6;9.7;14.7;78.1
St. Gallen;2014-08-22;207.0;0.0;;927.2;0.0;379.0;14.1;10.5;17.6;67.7
St. Gallen;2014-08-25;156.0;0.0;;927.4;3.6;200.0;12.3;8.7;16.4;72.2
